"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","11","44","8","1","44.789711","0","278"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","11","10","10","1","14.910116","0","10"
"/MovieRenderPipeline/Materials/MovieRenderQueue_MotionVectors.MovieRenderQueue_MotionVectors","11","4","4","1","4.897492","0","4"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","11","14","1","1","10.436160","0","52"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","11","89","1","1","94.244598","0","617"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","11","255","1","1","295.076202","0","2630"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","11","784","2","1","815.065552","0","17983"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","11","22","1","1","21.833189","0","80"
"/DatasmithContent/Materials/SketchupMaster.SketchUpMaster","11","90","1","1","97.693962","0","482"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","11","28","17","6","30.457884","0","58"
"/Game/NewContent/Building_Combined_vjtadajdw_2K_3d_ms/mat_wall_classic.mat_wall_classic","11","17","1","1","17.853788","0","45"
"/Game/StarterContent/Textures/T_Shelf_M_Mat.T_Shelf_M_Mat","11","15","1","1","16.095592","0","38"
"/Game/StarterContent/Textures/T_TableRound_M_Mat.T_TableRound_M_Mat","11","15","15","1","16.000614","0","17"
"/Game/StarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","11","40","1","1","39.064449","0","182"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","11","6","6","1","5.749988","0","6"
"/Game/StarterContent/Textures/T_Checker_Noise_M_Mat.T_Checker_Noise_M_Mat","11","15","1","1","16.170141","0","52"
"/Game/NewContent/new-materials/material_copper_new.material_copper_new","11","17","1","1","18.829647","0","70"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","11","45","1","1","50.870274","0","217"
"/Game/StarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","11","45","1","1","50.804989","0","176"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","11","47","1","1","51.359318","0","231"
"/Game/StarterContent/Materials/M_Metal_Steel.M_Metal_Steel","11","45","1","1","50.619232","0","167"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","11","45","1","1","50.818195","0","227"
"/Game/StarterContent/Materials/M_Wood_Oak.M_Wood_Oak","11","45","1","1","50.603363","0","155"
"/Game/StarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","11","45","1","1","51.712868","0","186"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","11","45","1","1","52.322601","0","212"
"/Game/StarterContent/Particles/Materials/M_Spark.M_Spark","11","6","1","1","5.738191","0","14"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","11","45","1","1","52.248295","0","183"
"/Game/StarterContent/Textures/T_Door_M_Mat.T_Door_M_Mat","11","15","1","1","16.417984","0","48"
"/Game/StarterContent/Textures/T_Ceramic_Tile_M_Mat.T_Ceramic_Tile_M_Mat","11","15","1","1","16.407276","0","39"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","11","45","1","1","51.994328","0","194"
"/Game/StarterContent/Materials/M_CobbleStone_Rough.M_CobbleStone_Rough","11","45","1","1","51.013912","0","173"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","11","12","1","1","11.901100","0","38"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","11","6","1","1","5.578764","0","17"
"/Game/StarterContent/Props/Materials/M_TableRound.M_TableRound","11","45","1","1","52.146610","0","220"
"/Game/StarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","11","45","1","1","51.960972","0","176"
"/Game/StarterContent/Textures/T_Tech_Dot_M_Mat.T_Tech_Dot_M_Mat","11","15","1","1","16.339746","0","58"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","11","45","1","1","52.259197","0","198"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","11","45","1","1","51.802452","0","162"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","11","45","1","1","52.221188","0","249"
"/Game/StarterContent/Textures/T_Chair_M_Mat.T_Chair_M_Mat","11","15","1","1","16.334375","0","47"
"/Game/StarterContent/Materials/M_Tech_Panel.M_Tech_Panel","11","45","1","1","52.745045","0","209"
"/Game/StarterContent/Textures/T_Tech_Panel_M_Mat.T_Tech_Panel_M_Mat","11","15","1","1","16.613241","0","43"
"/Game/StarterContent/Materials/M_CobbleStone_Pebble.M_CobbleStone_Pebble","11","45","1","1","52.702255","0","216"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","11","12","1","1","10.673287","0","51"
"/Game/StarterContent/Materials/M_Brick_Clay_Beveled.M_Brick_Clay_Beveled","11","45","1","1","52.385441","0","183"
"/Game/StarterContent/Materials/M_CobbleStone_Smooth.M_CobbleStone_Smooth","11","45","1","1","52.098984","0","332"
"/Game/StarterContent/Materials/M_Concrete_Tiles.M_Concrete_Tiles","11","45","1","1","54.126995","0","246"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.M_LightStage_Skybox_Master","11","4","4","2","3.579942","0","4"
"/HDRIBackdrop/Materials/HDRI_Projection.HDRI_Projection","11","135","28","3","178.624100","0","688"
"/Game/StarterContent/Materials/M_Water_Lake.M_Water_Lake","11","45","1","1","52.481571","0","334"
"/Game/StarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","11","45","1","1","53.125687","0","308"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","11","45","1","1","52.690533","0","344"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","11","45","1","1","54.206829","0","505"
"/Game/StarterContent/Materials/M_Brick_Cut_Stone.M_Brick_Cut_Stone","11","45","2","1","54.095589","0","354"
"/Game/NewContent/kim/StarterContent/Materials/M_Brick_Clay_Old.M_Brick_Clay_Old","11","45","22","1","65.509407","0","260"
"/Game/StarterContent/Materials/M_Concrete_Panels.M_Concrete_Panels","11","45","2","1","59.648468","0","215"
"/Game/StarterContent/Materials/M_Rock_Slate.M_Rock_Slate","11","45","20","1","78.261375","0","128"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","11","30","30","1","42.475746","0","46"
"/Game/StarterContent/Props/Materials/M_Lamp.M_Lamp","11","45","20","1","63.552197","0","173"
"/Game/StarterContent/Textures/T_Lamp_M_Mat.T_Lamp_M_Mat","11","15","15","1","20.006605","0","29"
"/Game/StarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","11","45","16","1","51.174995","0","125"
"/Game/StarterContent/Materials/M_Ground_Gravel.M_Ground_Gravel","11","45","21","1","51.127110","0","130"
"/Game/StarterContent/Materials/M_Concrete_Grime.M_Concrete_Grime","11","45","1","1","51.279930","0","146"
"/Game/StarterContent/Materials/M_Ceramic_Tile_Checker.M_Ceramic_Tile_Checker","11","45","17","1","51.561306","0","275"
"/Game/StarterContent/Materials/M_Ground_Grass.M_Ground_Grass","11","45","1","1","50.215996","0","171"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","11","45","1","1","51.413982","0","207"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","11","45","20","1","50.974895","0","128"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","11","32","1","1","35.160450","0","130"
"/Game/StarterContent/Materials/M_Brick_Hewn_Stone.M_Brick_Hewn_Stone","11","45","1","1","50.837563","0","141"
"/Game/StarterContent/Materials/M_Brick_Clay_New.M_Brick_Clay_New","11","45","23","1","50.743095","0","132"
"/Game/StarterContent/Materials/M_Metal_Rust.M_Metal_Rust","11","45","18","1","52.114010","0","125"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","11","8","8","1","7.620884","0","8"
"/Engine/EditorMeshes/ColorCalibrator/M_ColorGrid.M_ColorGrid","11","45","19","1","50.034412","0","130"
"/DatasmithContent/Materials/CE_OpaqueMaster.CE_OpaqueMaster","11","90","2","1","104.433365","0","682"
"/DatasmithContent/Materials/CE_OpacitySimpleMaster.CE_OpacitySimpleMaster","11","104","2","1","115.762947","0","1368"
"/DatasmithContent/Materials/CE_OpacityMaster.CE_OpacityMaster","11","10","1","1","10.640771","0","34"
"/Game/StarterContent/Props/Materials/M_Bush.M_Bush","11","52","24","1","57.653000","0","416"
"/DatasmithContent/Materials/StdEmissive/M_StdEmissive.M_StdEmissive","11","148","17","1","157.862335","0","1935"
"/DatasmithContent/Materials/StdTranslucent/M_StdTranslucent.M_StdTranslucent","11","88","1","1","95.054893","0","467"
"/DatasmithContent/Materials/StdOpaque/M_StdOpaque.M_StdOpaque","11","200","22","1","220.873901","0","1526"
"/Engine/EditorMaterials/Thumbnails/SkySphereMaterial.SkySphereMaterial","11","45","22","1","45.635532","0","130"
"/DatasmithContent/Materials/RevitMaster.RevitMaster","11","90","1","1","107.506157","0","498"
"/DatasmithContent/Materials/C4DMaster.C4DMaster","11","45","21","1","50.645660","0","130"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","11","44","15","1","50.332844","0","118"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","11","104","20","1","131.395386","0","454"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","11","2","2","1","1.704926","0","2"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","11","10","10","1","10.541371","0","10"
"/Game/StarterContent/Materials/M_Ground_Moss.M_Ground_Moss","11","45","16","1","51.450043","0","207"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","11","4","4","1","3.138074","0","4"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","11","8","8","1","7.339048","0","8"
"/Game/StarterContent/Props/Materials/M_Rock.M_Rock","11","45","18","1","52.277832","0","207"
"/Game/StarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","11","45","1","1","51.823494","0","208"
"/Game/StarterContent/Materials/M_Water_Ocean.M_Water_Ocean","11","45","12","1","52.948612","0","119"
"/Game/StarterContent/Materials/M_ColorGrid_LowSpec.M_ColorGrid_LowSpec","11","45","14","1","51.387280","0","187"
"/Game/StarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","11","45","21","1","51.924187","0","128"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","11","4","4","1","3.404815","0","4"
"/Game/StarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","11","45","16","1","52.630547","0","169"
